Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","23140.03","Breakfast cereals","2022","2022","t","956.33","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","23140.03","Breakfast cereals","2022","2022","1000 USD","2949","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","23140.03","Breakfast cereals","2022","2022","t","13143.24","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","39160","Brewing or distilling dregs and waste","2021","2021","t","35","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01702","Broad beans and horse beans, dry","2021","2021","t","5.56","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01702","Broad beans and horse beans, dry","2021","2021","1000 USD","17","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01702","Broad beans and horse beans, dry","2021","2021","t","0.26","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01702","Broad beans and horse beans, dry","2022","2022","t","6.72","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01702","Broad beans and horse beans, dry","2022","2022","1000 USD","10","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01702","Broad beans and horse beans, dry","2022","2022","t","0.21","I","Imputed value",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01243","Broad beans and horse beans, green","2021","2021","t","139.59","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01243","Broad beans and horse beans, green","2022","2022","t","150.03","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01192","Buckwheat","2021","2021","t","2637.71","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01192","Buckwheat","2022","2022","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","01192","Buckwheat","2022","2022","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01192","Buckwheat","2022","2022","t","3185.42","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5908","Export Quantity","02112","Buffalo","2021","2021","An","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5908","Export Quantity","02112","Buffalo","2022","2022","An","0","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","22241.01","Butter of cow milk","2021","2021","t","3177.58","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","22241.01","Butter of cow milk","2021","2021","1000 USD","14372","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","22241.01","Butter of cow milk","2021","2021","t","580.1","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","22241.01","Butter of cow milk","2022","2022","t","2894.61","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","22241.01","Butter of cow milk","2022","2022","1000 USD","16485","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","22241.01","Butter of cow milk","2022","2022","t","1036.29","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","22230.03","Buttermilk, curdled and acidified milk","2021","2021","t","2546.27","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","22230.03","Buttermilk, curdled and acidified milk","2021","2021","1000 USD","9143","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","22230.03","Buttermilk, curdled and acidified milk","2021","2021","t","467.84","A","Official figure",""
